unit_type,phylo_group,broad_family,branch_class,terminal_snp_norm,surname_id,slava_id,region_id,location_id,lat,long
location_terminal,E,non_I2,Founder,E-PH1395,Петровић,Аранђеловдан,Рашка,Кулизино Село/Дајићи/Ивањица,43.4039852,20.2853921
location_terminal,E,non_I2,Founder,E-FT178289,Брусин,Јовањдан,Западни Банат,Кумане/Нови Бечеј,45.5400113,20.2274206
location_terminal,Y3120_shallow_nonPH908,nonPH908_I2,Relic,Y267977,Оџић/O Jack,Јовањдан,Западни Банат,Кумане/Нови Бечеј,45.5400113,20.2274206
location_terminal,E,non_I2,Founder,E-L241,Величковић,Стевањдан,Северна Македонија,Куманово,42.135913,21.7185474
location_terminal,PH908_primary,PH908_family,Founder,FT16449,Довезенски,Аранђеловдан,Северна Македонија,Куманово,42.135913,21.7185474
location_terminal,E,non_I2,Founder,E-Z16988,Вујновић,Никољдан,Стара Херцеговина,Кумбор/Херцег Нови,42.4403576,18.587667
location_terminal,R1b,non_I2,Founder,FT49714,Шћекић,Петковдан,Брда,Курикуће/Беране,42.8776904,19.7466909
location_terminal,E,non_I2,Founder,E-BY165837,Вујадиновић,Никољдан,Топлица,Куршумлија,43.1380502,21.2717791
location_terminal,R1b,non_I2,Founder,BY38894,Михаиловић,Митровдан,Шумадија,Кусадак/Смедеревска Паланка,44.3997222,20.8033333
location_terminal,I1,non_I2,Founder,FGC22061,Башевић,Ђурђевдан,Источна Босна,Кусаче/Соколац,43.9286803,18.8682872
location_terminal,J2,non_I2,Founder,J-FT413312,Радуловић,Јовањдан,Источна Босна,Кусаче/Хан Пијесак,44.0601159,18.9813131
location_terminal,E,non_I2,Founder,E-Z1057,Пајкић,Јовањдан,Браничево,Кусиће/Велико Градиште,44.7182741,21.5297831
location_terminal,PH908_primary,PH908_family,Relic,BY77359,Лазаревић,Јовањдан,Шумадија,Кусовац/Кнић,43.964743,20.6705617
location_terminal,I1,non_I2,Founder,FGC22061,Тановић,Ђурђевдан,Источна Босна,Кусуци/Рогатица,43.7184512,19.090371
location_terminal,N,non_I2,Founder,N-FT182494,Видовић,Никољдан,Средња Босна,Кутања/Доњи Вакуф,44.1374347,17.373552
location_terminal,PH908_primary,PH908_family,Founder,FT16449,Вујовић,Никољдан,Херцеговина,Кути/Билећа,43.0200574,18.2867202
location_terminal,R1a,non_I2,Founder,L1029,Ракић,Никољдан,Централна Хрватска,Кутина,45.483097,16.7755908
location_terminal,I1,non_I2,Founder,FGC22061,Миливојевић,Ђурђевдан,Топлица,Кутловац/Блаце,43.247778,21.240278
location_terminal,R1b,non_I2,Founder,FT49714,Марић,Аранђеловдан,Топлица,Кутлово/Куршумлија,42.9626239,21.3152757
location_terminal,I1,non_I2,Founder,FGC22061,Ратковић,Никољдан,Стари Влах,Кучин/Пријепоље,43.4792831,19.6330634
