target_relic_mean,target_founder_mean,control_relic_mean,control_founder_mean,target_relic_n,target_founder_n,control_relic_n,control_founder_n,target_relic_minus_founder,control_relic_minus_founder,did_lift,unit_type,target_name,control_set,feature,feature_type
24.91302547944859,30.98076553901867,21.64897895418224,19.181124318594645,133,445,232,1480,-6.067740059570081,2.467854635587596,-8.535594695157677,cluster,I2_all,non_I2_excl_R1a,min_km_to_other_i2_relic,continuous
36.02309944228076,34.181480904142006,35.465955185389014,31.4243081985437,133,445,232,1480,1.8416185381387535,4.041646986845315,-2.2000284487065613,cluster,I2_all,non_I2_excl_R1a,min_km_to_nonph_i2_relic,continuous
17.335033835743367,17.467948132374136,21.64897895418224,19.181124318594645,133,445,232,1480,-0.13291429663076926,2.467854635587596,-2.600768932218365,cluster,I2_all,non_I2_excl_R1a,min_km_to_i2_relic_diff_terminal,continuous
12.524933696668565,14.051515622620514,11.850072990899525,14.253383963094139,133,445,232,1480,-1.5265819259519482,-2.403310972194614,0.8767290462426658,cluster,I2_all,non_I2_excl_R1a,min_km_to_non_i2_relic,continuous
38.37039281297861,42.52281260762252,41.14287019297354,42.328301968549894,133,445,232,1480,-4.152419794643912,-1.1854317755763546,-2.966988019067557,cluster,I2_all,non_I2_excl_R1a,min_km_to_r1a_relic,continuous
-4.810100139074801,-3.4164325097536232,-9.798905963282717,-4.927740355500506,133,445,232,1480,-1.3936676293211776,-4.871165607782211,3.477497978461033,cluster,I2_all,non_I2_excl_R1a,i2_vs_non_i2_distance_gap,continuous
21.035358977235244,25.054864475248387,19.4938912387913,23.147177649955246,133,445,232,1480,-4.019505498013142,-3.653286411163947,-0.36621908684919546,cluster,I2_all,non_I2_excl_R1a,i2_vs_r1a_distance_gap,continuous
3.293233082706767,3.202247191011236,2.663793103448276,3.2277027027027025,133,445,232,1480,0.09098589169553106,-0.5639095992544267,0.6548954909499578,cluster,I2_all,non_I2_excl_R1a,i2_relic_count_30,continuous
2.857142857142857,2.7213483146067414,2.3577586206896552,2.85,133,445,232,1480,0.13579454253611578,-0.49224137931034484,0.6280359218464606,cluster,I2_all,non_I2_excl_R1a,i2_terminal_count_30,continuous
1.6616541353383458,1.4157303370786516,1.4224137931034482,1.645945945945946,133,445,232,1480,0.24592379825969424,-0.22353215284249783,0.46945595110219207,cluster,I2_all,non_I2_excl_R1a,i2_group_count_30,continuous
0.3865121559759064,0.4319605358611917,0.2868888727705905,0.4044364330323861,131,435,220,1421,-0.04544837988528533,-0.11754756026179558,0.07209918037651025,cluster,I2_all,non_I2_excl_R1a,i2_relic_share_30,continuous
0.3596663909063128,0.42255426064386564,0.30369027372146906,0.3924979483589654,133,442,227,1469,-0.06288786973755284,-0.08880767463749634,0.0259198048999435,cluster,I2_all,non_I2_excl_R1a,i2_relic_share_50,continuous
296.2706766917293,322.0247191011236,335.6896551724138,358.0581081081081,133,445,232,1480,-25.754042409394287,-22.368452935694336,-3.3855894736999517,cluster,I2_all,non_I2_excl_R1a,slava_n,continuous
20.796992481203006,33.34157303370787,15.995689655172415,23.39527027027027,133,445,232,1480,-12.544580552504861,-7.399580615097856,-5.144999937407006,cluster,I2_all,non_I2_excl_R1a,slava_region_n,continuous
5.2481203007518795,5.213483146067416,6.474137931034483,5.967567567567568,133,445,232,1480,0.03463715468446349,0.5065703634669152,-0.4719332087824517,cluster,I2_all,non_I2_excl_R1a,surname_n,continuous
1.3834586466165413,1.5101123595505619,1.396551724137931,1.470945945945946,133,445,232,1480,-0.1266537129340206,-0.07439422180801492,-0.0522594911260057,cluster,I2_all,non_I2_excl_R1a,surname_region_n,continuous
24.91302547944859,30.98076553901867,21.239655143357854,19.706367396383822,133,445,280,1869,-6.067740059570081,1.5332877469740325,-7.6010278065441135,cluster,I2_all,all_non_I2,min_km_to_other_i2_relic,continuous
36.02309944228076,34.181480904142006,35.16843702024384,32.12382958232457,133,445,280,1869,1.8416185381387535,3.044607437919275,-1.2029888997805216,cluster,I2_all,all_non_I2,min_km_to_nonph_i2_relic,continuous
17.335033835743367,17.467948132374136,21.239655143357854,19.706367396383822,133,445,280,1869,-0.13291429663076926,1.5332877469740325,-1.6662020436048017,cluster,I2_all,all_non_I2,min_km_to_i2_relic_diff_terminal,continuous
12.524933696668565,14.051515622620514,12.322461484691862,14.647792087040337,133,445,280,1869,-1.5265819259519482,-2.3253306023484743,0.7987486763965261,cluster,I2_all,all_non_I2,min_km_to_non_i2_relic,continuous
38.37039281297861,42.52281260762252,39.40819663832363,42.94296436720678,133,445,280,1869,-4.152419794643912,-3.5347677288831463,-0.6176520657607654,cluster,I2_all,all_non_I2,min_km_to_r1a_relic,continuous
-4.810100139074801,-3.4164325097536232,-8.917193658665992,-5.058575309343487,133,445,280,1869,-1.3936676293211776,-3.858618349322505,2.4649507200013274,cluster,I2_all,all_non_I2,i2_vs_non_i2_distance_gap,continuous
21.035358977235244,25.054864475248387,18.16854149496578,23.23659697082295,133,445,280,1869,-4.019505498013142,-5.068055475857172,1.0485499778440293,cluster,I2_all,all_non_I2,i2_vs_r1a_distance_gap,continuous
3.293233082706767,3.202247191011236,2.642857142857143,3.1449973247726057,133,445,280,1869,0.09098589169553106,-0.502140181915463,0.593126073610994,cluster,I2_all,all_non_I2,i2_relic_count_30,continuous
2.857142857142857,2.7213483146067414,2.3464285714285715,2.7795612627073303,133,445,280,1869,0.13579454253611578,-0.43313269127875875,0.5689272338148745,cluster,I2_all,all_non_I2,i2_terminal_count_30,continuous
1.6616541353383458,1.4157303370786516,1.4285714285714286,1.6270733012306047,133,445,280,1869,0.24592379825969424,-0.19850187265917607,0.4444256709188703,cluster,I2_all,all_non_I2,i2_group_count_30,continuous
0.3865121559759064,0.4319605358611917,0.29577334916887227,0.3997930990606547,131,435,267,1797,-0.04544837988528533,-0.10401974989178242,0.05857137000649709,cluster,I2_all,all_non_I2,i2_relic_share_30,continuous
0.3596663909063128,0.42255426064386564,0.3066889110731942,0.38974360535960334,133,442,275,1855,-0.06288786973755284,-0.08305469428640916,0.02016682454885632,cluster,I2_all,all_non_I2,i2_relic_share_50,continuous
827,1318.4863523573201,1975,1981.8766066838045,50,403,47,389,-491.48635235732013,-6.876606683804539,-484.6097456735156,cluster,I2_all,all_non_I2,tmrca_ybp,continuous
296.2706766917293,322.0247191011236,316.7107142857143,352.0604601391118,133,445,280,1869,-25.754042409394287,-35.34974585339751,9.59570344400322,cluster,I2_all,all_non_I2,slava_n,continuous
20.796992481203006,33.34157303370787,15.432142857142857,23.101658640984482,133,445,280,1869,-12.544580552504861,-7.669515783841625,-4.875064768663236,cluster,I2_all,all_non_I2,slava_region_n,continuous
