unit_type,n_units,n_perm,class_polarity_contrast,ph908_relic_core_share,ph908_founder_core_share,r1a_relic_core_share,r1a_founder_core_share,ph908_relic_n,ph908_founder_n,r1a_relic_n,r1a_founder_n,ph908_relic_core_n,ph908_founder_core_n,r1a_relic_core_n,r1a_founder_core_n
terminal_branch,159,500,0.6522951522951523,0.5,0.2222222222222222,0.05405405405405406,0.42857142857142855,50,9,37,14,25,2,2,6
cluster,1351,500,0.37323455458781973,0.45121951219512196,0.19106699751861042,0.09090909090909091,0.2039911308203991,82,403,55,451,37,77,5,92
surname_slava_region_terminal,1298,500,0.3529327333427561,0.42857142857142855,0.18518518518518517,0.09090909090909091,0.20045558086560364,77,378,55,439,33,70,5,88
surname_region_terminal,1292,500,0.3559865617497864,0.42857142857142855,0.18351063829787234,0.09090909090909091,0.2018348623853211,77,376,55,436,33,69,5,88
slava_region_terminal,865,500,0.2878429723141537,0.391304347826087,0.19072164948453607,0.06,0.14726027397260275,69,194,50,292,27,37,3,43
location_terminal,1275,500,0.3849763459519557,0.45121951219512196,0.1972972972972973,0.07407407407407407,0.20512820512820512,82,370,54,429,37,73,4,88
