target_relic_rate,target_founder_rate,control_relic_rate,control_founder_rate,target_relic_n,target_founder_n,control_relic_n,control_founder_n,target_relic_yes,target_founder_yes,control_relic_yes,control_founder_yes,target_relic_minus_founder,control_relic_minus_founder,did_lift,unit_type,control_set,metric,n_perm,target_region_branch_p,target_region_size_branch_p,class_target_region_p
0.40625,0.16786570743405277,0.1232876712328767,0.2210604929051531,128,417,219,1339,52,70,27,296,0.23838429256594723,-0.09777282167227638,0.3361571142382236,surname_region_terminal,non_I2_excl_R1a,own_family_social_xsurname_xlocation,5000,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4
0.40601503759398494,0.1707865168539326,0.12946428571428573,0.21854780733285406,133,445,224,1391,54,76,29,304,0.23522852074005235,-0.08908352161856833,0.32431204235862066,cluster,non_I2_excl_R1a,own_family_social_xsurname_xlocation,5000,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4
0.40625,0.16786570743405277,0.1348314606741573,0.21528588098016335,128,417,267,1714,52,70,36,369,0.23838429256594723,-0.08045442030600605,0.3188387128719533,surname_region_terminal,all_non_I2,own_family_social_xsurname_xlocation,5000,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4
0.3515625,0.10551558752997602,0.0867579908675799,0.15011202389843167,128,417,219,1339,45,44,19,201,0.24604691247002397,-0.06335403303085177,0.3094009455008757,surname_region_terminal,non_I2_excl_R1a,own_family_cloud_xsurname_xlocation,5000,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4
0.40601503759398494,0.1707865168539326,0.13970588235294118,0.21179775280898877,133,445,272,1780,54,76,38,377,0.23522852074005235,-0.07209187045604759,0.30732039119609994,cluster,all_non_I2,own_family_social_xsurname_xlocation,5000,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4
0.4015151515151515,0.17761557177615572,0.13425925925925927,0.21625766871165644,132,411,216,1304,53,73,29,282,0.22389957973899577,-0.08199840945239717,0.30589798919139294,location_terminal,non_I2_excl_R1a,own_family_social_xsurname_xlocation,5000,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4
0.3515625,0.10551558752997602,0.0898876404494382,0.14935822637106183,128,417,267,1714,45,44,24,256,0.24604691247002397,-0.05947058592162363,0.3055174983916476,surname_region_terminal,all_non_I2,own_family_cloud_xsurname_xlocation,5000,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4
0.3533834586466165,0.10786516853932585,0.09375,0.1466570812365205,133,445,224,1391,47,48,21,204,0.24551829010729068,-0.05290708123652049,0.2984253713438112,cluster,non_I2_excl_R1a,own_family_cloud_xsurname_xlocation,5000,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4
0.3533834586466165,0.10786516853932585,0.09558823529411764,0.1455056179775281,133,445,272,1780,47,48,26,259,0.24551829010729068,-0.04991738268341045,0.29543567279070115,cluster,all_non_I2,own_family_cloud_xsurname_xlocation,5000,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4
0.4015151515151515,0.17761557177615572,0.1444866920152091,0.21027479091995221,132,411,263,1674,53,73,38,352,0.22389957973899577,-0.0657880989047431,0.2896876786437389,location_terminal,all_non_I2,own_family_social_xsurname_xlocation,5000,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4
0.3484848484848485,0.10948905109489052,0.09722222222222222,0.14340490797546013,132,411,216,1304,46,45,21,187,0.238995797389958,-0.046182685753237904,0.2851784831431959,location_terminal,non_I2_excl_R1a,own_family_cloud_xsurname_xlocation,5000,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4
0.3484848484848485,0.10948905109489052,0.09885931558935361,0.14277180406212664,132,411,263,1674,46,45,26,239,0.238995797389958,-0.04391248847277303,0.28290828586273103,location_terminal,all_non_I2,own_family_cloud_xsurname_xlocation,5000,1.999600079984003e-4,1.999600079984003e-4,1.999600079984003e-4
0.7142857142857143,0.5280898876404494,0.41544117647058826,0.47752808988764045,133,445,272,1780,95,235,113,850,0.1861958266452649,-0.06208691341705219,0.2482827400623171,cluster,all_non_I2,own_family_near30,5000,0.003599280143971206,0.005398920215956809,1.999600079984003e-4
0.7121212121212122,0.5401459854014599,0.4144486692015209,0.4778972520908005,132,411,263,1674,94,222,109,800,0.1719752267197523,-0.06344858288927957,0.23542380960903186,location_terminal,all_non_I2,own_family_near30,5000,0.0065986802639472104,0.007798440311937612,3.999200159968006e-4
0.15625,0.06474820143884892,0.06367041198501873,0.08051341890315053,128,417,267,1714,20,27,17,138,0.09150179856115108,-0.0168430069181318,0.10834480547928288,surname_region_terminal,all_non_I2,own_family_strict_xsurname_xlocation,5000,0.007398520295940812,0.006998600279944011,0.007798440311937612
0.16541353383458646,0.06741573033707865,0.06985294117647059,0.07865168539325842,133,445,272,1780,22,30,19,140,0.09799780349750781,-0.008798744216787835,0.10679654771429564,cluster,all_non_I2,own_family_strict_xsurname_xlocation,5000,0.007998400319936013,0.005598880223955209,0.008598280343931213
