target_relic_rate,target_founder_rate,control_relic_rate,control_founder_rate,target_relic_n,target_founder_n,control_relic_n,control_founder_n,target_relic_yes,target_founder_yes,control_relic_yes,control_founder_yes,target_relic_minus_founder,control_relic_minus_founder,did_lift,unit_type,control_set,metric,n_perm,target_region_branch_p,target_region_size_branch_p,class_target_region_p,target_region_branch_ci_low,target_region_branch_ci_high,target_region_size_branch_ci_low,target_region_size_branch_ci_high,class_target_region_ci_low,class_target_region_ci_high
0.3533834586466165,0.10786516853932585,0.30603448275862066,0.3581081081081081,133,445,232,1480,47,48,71,530,0.24551829010729068,-0.05207362534948745,0.2975919154567781,cluster,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,500,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.02389006275912614,0.2128825662436665,0.032737825986503065,0.2336110994432687,0.07723387503965207,0.24969436527589223
0.3533834586466165,0.11235955056179775,0.30714285714285716,0.34724451578384163,133,445,280,1869,47,50,86,649,0.24102390808481877,-0.04010165864098447,0.28112556672580324,cluster,all_non_I2,other_i2_cloud_xsurname,500,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.0042786566134437164,0.2014164097040353,0.011190828194080678,0.2041986461941369,0.08035877967390381,0.24048113612683392
0.3515625,0.11031175059952038,0.30837004405286345,0.3543859649122807,128,417,227,1425,45,46,70,505,0.24125074940047964,-0.04601592085941725,0.2872666702598969,surname_region_terminal,non_I2_excl_R1a,other_i2_cloud_xsurname,500,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.008644552072230471,0.20476912319118734,0.002435802363789457,0.21420546701550183,0.05994804271207424,0.23112973385927243
0.3515625,0.10551558752997602,0.30837004405286345,0.35368421052631577,128,417,227,1425,45,44,70,504,0.24604691247002397,-0.04531416647345232,0.2913610789434763,surname_region_terminal,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,500,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.017597171548351415,0.22109039608534595,0.0069024035930078664,0.2052281018029884,0.061622731916773546,0.2327905983626615
0.3515625,0.11031175059952038,0.3090909090909091,0.3438888888888889,128,417,275,1800,45,46,85,619,0.24125074940047964,-0.03479797979797983,0.27604872919845946,surname_region_terminal,all_non_I2,other_i2_cloud_xsurname,500,0.001996007984031936,0.001996007984031936,0.001996007984031936,-0.00979233544982195,0.19507621686741516,-0.004025693649625783,0.20282178972730902,0.06828404832951818,0.2329768753179274
0.3515625,0.10551558752997602,0.3090909090909091,0.3433333333333333,128,417,275,1800,45,44,85,618,0.24604691247002397,-0.03424242424242424,0.2802893367124482,surname_region_terminal,all_non_I2,other_i2_cloud_xsurname_xlocation,500,0.001996007984031936,0.001996007984031936,0.001996007984031936,-0.0023730385010173796,0.20100461562568123,-0.011023681055155887,0.1991248399008066,0.06701750474620305,0.22528059427458025
0.3484848484848485,0.10948905109489052,0.3062730627306273,0.3468339988590987,132,411,271,1753,46,45,83,608,0.238995797389958,-0.04056093612847139,0.27955673351842936,location_terminal,all_non_I2,other_i2_cloud_xsurname_xlocation,500,0.001996007984031936,0.001996007984031936,0.001996007984031936,1.799641344254873e-4,0.20904089734781298,0.015918685068446816,0.20239342420644568,0.06808619133481203,0.2385048305806305
0.3533834586466165,0.10786516853932585,0.30714285714285716,0.3467094703049759,133,445,280,1869,47,48,86,648,0.24551829010729068,-0.039566613162118736,0.2850849032694094,cluster,all_non_I2,other_i2_cloud_xsurname_xlocation,500,0.001996007984031936,0.001996007984031936,0.005988023952095809,0.012367928247585227,0.21224532539213198,0.015246684126045462,0.1983525351299597,0.07999915519134909,0.24033399862014582
0.3484848484848485,0.11435523114355231,0.30357142857142855,0.3579175704989154,132,411,224,1383,46,47,68,495,0.2341296173412962,-0.05434614192748688,0.2884757592687831,location_terminal,non_I2_excl_R1a,other_i2_cloud_xsurname,500,0.001996007984031936,0.001996007984031936,0.005988023952095809,0.017143116665833874,0.22554147891520182,0.01609994386198432,0.2205792445741105,0.07471598625594078,0.24027909117195534
0.3484848484848485,0.10948905109489052,0.30357142857142855,0.3571945046999277,132,411,224,1383,46,45,68,494,0.238995797389958,-0.05362307612849915,0.29261887351845717,location_terminal,non_I2_excl_R1a,other_i2_cloud_xsurname_xlocation,500,0.001996007984031936,0.001996007984031936,0.005988023952095809,0.024193940237453276,0.22851543315841363,0.012460801449106383,0.21619771436683555,0.06883196013420344,0.23708183905204072
