target_relic_rate,target_founder_rate,control_relic_rate,control_founder_rate,target_relic_n,target_founder_n,control_relic_n,control_founder_n,target_relic_yes,target_founder_yes,control_relic_yes,control_founder_yes,target_relic_minus_founder,control_relic_minus_founder,did_lift,unit_type,control_set,metric,n_perm,target_region_branch_p,target_region_size_branch_p,class_target_region_p,target_region_branch_ci_low,target_region_branch_ci_high,target_region_size_branch_ci_low,target_region_size_branch_ci_high,class_target_region_ci_low,class_target_region_ci_high
0.7121212121212122,0.5474452554744526,0.75,0.8423716558206796,132,411,224,1383,94,225,168,1165,0.1646759566467596,-0.09237165582067963,0.25704761246743923,location_terminal,non_I2_excl_R1a,other_i2_near_30km,500,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.019803684223391786,0.20096580406935458,0.021153761528937776,0.19482037141584968,0.062207968375398874,0.22519179253488208
0.71875,0.5467625899280576,0.7577092511013216,0.8435087719298245,128,417,227,1425,92,228,172,1202,0.1719874100719424,-0.08579952082850295,0.25778693090044535,surname_region_terminal,non_I2_excl_R1a,other_i2_near_30km,500,0.001996007984031936,0.001996007984031936,0.00998003992015968,0.01813210411412347,0.19176690980568195,0.008960354547048684,0.1855672379642077,0.07397695119611479,0.23225890209754296
0.7121212121212122,0.5474452554744526,0.7564575645756457,0.8397033656588705,132,411,271,1753,94,225,205,1472,0.1646759566467596,-0.08324580108322477,0.24792175772998437,location_terminal,all_non_I2,other_i2_near_30km,500,0.001996007984031936,0.001996007984031936,0.00998003992015968,0.020776644583759808,0.1897909124386531,0.0204211696672566,0.1777767497172565,0.07869137436078674,0.2336524225735086
0.7142857142857143,0.5348314606741573,0.7642857142857142,0.8421615837346175,133,445,280,1869,95,238,214,1574,0.17945425361155698,-0.07787586944890323,0.2573301230604602,cluster,all_non_I2,other_i2_near_30km,500,0.001996007984031936,0.001996007984031936,0.017964071856287425,0.02613151558671961,0.17600734631522622,0.023447048097772566,0.17597056193855415,0.08688913294472134,0.24990488862605958
0.71875,0.5467625899280576,0.7636363636363637,0.8411111111111111,128,417,275,1800,92,228,210,1514,0.1719874100719424,-0.07747474747474747,0.24946215754668988,surname_region_terminal,all_non_I2,other_i2_near_30km,500,0.001996007984031936,0.001996007984031936,0.01996007984031936,0.014104419305464702,0.16924917395628947,0.01151646694008425,0.17720992410616954,0.07935351661852338,0.24161675205290312
0.7142857142857143,0.5348314606741573,0.7586206896551724,0.8452702702702702,133,445,232,1480,95,238,176,1251,0.17945425361155698,-0.08664958061509787,0.26610383422665485,cluster,non_I2_excl_R1a,other_i2_near_30km,500,0.003992015968063872,0.001996007984031936,0.003992015968063872,0.03846097845178935,0.1889108139621124,0.03422732874693309,0.19503189748077737,0.07869558513076946,0.24182279866918618
0.20300751879699247,0.09438202247191012,0.2629310344827586,0.28986486486486485,133,445,232,1480,27,42,61,429,0.10862549632508235,-0.026933830382106227,0.13555932670718857,cluster,non_I2_excl_R1a,other_i2_dist_le_10,500,0.041916167664670656,0.03992015968063872,0.1936127744510978,-0.02491769168279194,0.14479473669251186,-0.017472057638940122,0.14299864904428364,0.01994252634082665,0.1808765251925797
0.20300751879699247,0.09438202247191012,0.2642857142857143,0.29213483146067415,133,445,280,1869,27,42,74,546,0.10862549632508235,-0.02784911717495986,0.1364746135000422,cluster,all_non_I2,other_i2_dist_le_10,500,0.04790419161676647,0.05788423153692615,0.26746506986027946,-0.03205093140153756,0.14967043662527102,-0.030634785700205627,0.15120855157556806,0.04187079355692603,0.19041142181295936
0.924812030075188,0.8966292134831461,0.9464285714285714,0.9684323167469235,133,445,280,1869,123,399,265,1810,0.028182816592041915,-0.02200374531835214,0.050186561910394056,cluster,all_non_I2,other_i2_dist_le_50,500,0.05189620758483034,0.05189620758483034,0.7684630738522954,-0.02217191504041008,0.05555743290811288,-0.02215158683224916,0.05553904071977691,0.023442032046408157,0.10978288417673399
0.2109375,0.09592326139088729,0.26181818181818184,0.27666666666666667,128,417,275,1800,27,40,72,498,0.11501423860911271,-0.014848484848484833,0.12986272345759753,surname_region_terminal,all_non_I2,other_i2_dist_le_10,500,0.05588822355289421,0.05389221556886228,0.249500998003992,-0.024649759169936766,0.14973090902278172,-0.035253314393939375,0.13933762251562387,0.02625943506558391,0.18438459459704962
0.20454545454545456,0.10218978102189781,0.26339285714285715,0.28344179320318147,132,411,224,1383,27,42,59,392,0.10235567352355675,-0.02004893606032432,0.12240460958388107,location_terminal,non_I2_excl_R1a,other_i2_dist_le_10,500,0.06786427145708583,0.06786427145708583,0.26147704590818366,-0.02814704692240533,0.1458112767719927,-0.023310799783926778,0.14422441575543168,0.021218567303621205,0.18180468757657592
0.924812030075188,0.8966292134831461,0.9396551724137931,0.9702702702702702,133,445,232,1480,123,399,218,1436,0.028182816592041915,-0.03061509785647709,0.058797914448519006,cluster,non_I2_excl_R1a,other_i2_dist_le_50,500,0.06786427145708583,0.08383233532934131,0.7045908183632734,-0.014273752724271782,0.06546969825686766,-0.020257161170516014,0.0741729026582026,0.015051870109528305,0.11313415880245335
0.9242424242424242,0.8978102189781022,0.9446494464944649,0.9674843126069596,132,411,271,1753,122,369,256,1696,0.026432205264321995,-0.022834866112494634,0.04926707137681663,location_terminal,all_non_I2,other_i2_dist_le_50,500,0.06986027944111776,0.06187624750499002,0.7564870259481038,-0.0224624300350599,0.057183917955359764,-0.026214338960679116,0.05979456530694216,0.0184593955207114,0.1071255450585594
0.44360902255639095,0.2876404494382023,0.6285714285714286,0.6393793472445158,133,445,280,1869,59,128,176,1195,0.15596857311818868,-0.01080791867308728,0.16677649179127596,cluster,all_non_I2,other_i2_dist_le_20,500,0.06986027944111776,0.06387225548902195,0.43313373253493015,-0.01190616991917992,0.18783405142068643,-0.02453644645321167,0.18507214313874568,0.07085469995212748,0.26440912674945777
0.20454545454545456,0.10218978102189781,0.26199261992619927,0.28636622932116373,132,411,271,1753,27,42,71,502,0.10235567352355675,-0.02437360939496447,0.1267292829185212,location_terminal,all_non_I2,other_i2_dist_le_10,500,0.0718562874251497,0.06187624750499002,0.3193612774451098,-0.04335862500033832,0.14479079779769213,-0.03896103875193403,0.14483299836710836,0.033202549593227965,0.1850591165501329
0.9242424242424242,0.8978102189781022,0.9375,0.9689081706435285,132,411,224,1383,122,369,210,1340,0.026432205264321995,-0.03140817064352852,0.057840375907850516,location_terminal,non_I2_excl_R1a,other_i2_dist_le_50,500,0.0718562874251497,0.07984031936127745,0.654690618762475,-0.019257441157341904,0.06784900368666578,-0.017907363851796032,0.07011367500505683,0.01780498550749665,0.11343782084802478
0.44696969696969696,0.29927007299270075,0.6199261992619927,0.6360524814603536,132,411,271,1753,59,123,168,1115,0.1476996239769962,-0.016126282198360986,0.1638259061753572,location_terminal,all_non_I2,other_i2_dist_le_20,500,0.07784431137724551,0.07385229540918163,0.44510978043912175,-0.006657328229572724,0.19358159749934478,-0.005117887784652879,0.1856748186200706,0.07147727223140726,0.2572982968438272
0.2109375,0.09592326139088729,0.2599118942731278,0.2736842105263158,128,417,227,1425,27,40,59,390,0.11501423860911271,-0.013772316253188033,0.12878655486230073,surname_region_terminal,non_I2_excl_R1a,other_i2_dist_le_10,500,0.07784431137724551,0.09381237524950099,0.20359281437125748,-0.03888145979998983,0.14983881449066336,-0.032768027694700275,0.14975257475447873,0.02156136155155404,0.18496400288765047
0.4375,0.29256594724220625,0.6254545454545455,0.6355555555555555,128,417,275,1800,56,122,172,1144,0.14493405275779375,-0.010101010101010055,0.1550350628588038,surname_region_terminal,all_non_I2,other_i2_dist_le_20,500,0.08183632734530938,0.08183632734530938,0.5089820359281437,-0.01844183743913963,0.1765728133402369,-0.018571235057408587,0.17898706546126736,0.058271546966971836,0.24592466367814841
0.4375,0.29256594724220625,0.6211453744493393,0.6350877192982456,128,417,227,1425,56,122,141,905,0.14493405275779375,-0.01394234484890633,0.15887639760670008,surname_region_terminal,non_I2_excl_R1a,other_i2_dist_le_20,500,0.1157684630738523,0.10179640718562874,0.4151696606786427,-0.012502401382858519,0.19454909135669668,0.0025474238059702823,0.19269539888174078,0.0414511225343282,0.24057522457862596
0.44696969696969696,0.29927007299270075,0.6160714285714286,0.6362979031091829,132,411,224,1383,59,123,138,880,0.1476996239769962,-0.02022647453775428,0.1679260985147505,location_terminal,non_I2_excl_R1a,other_i2_dist_le_20,500,0.12375249500998003,0.10578842315369262,0.34530938123752497,0.003740265821356837,0.21409639488741955,-0.0071306174622241,0.1925878841274205,0.05281520472807167,0.23536166818730508
