reservoir_family,n_Founder,n_Relic,yes_Founder,yes_Relic,rate_Founder,rate_Relic,relic_minus_founder,unit_type,metric,family_rank,exact_rank_p
E,626,45,87,3,0.1389776357827476,0.06666666666666667,-0.07231096911608094,surname_region_terminal,own_family_cloud_xsurname_xlocation,5,0.7142857142857143
R1b,118,59,28,3,0.23728813559322035,0.05084745762711865,-0.1864406779661017,surname_region_terminal,own_family_cloud_xsurname_xlocation,6,0.8571428571428571
I1,276,31,58,0,0.21014492753623187,0,-0.21014492753623187,surname_region_terminal,own_family_cloud_xsurname_xlocation,7,1
I2,417,128,27,20,0.06474820143884892,0.15625,0.09150179856115108,surname_region_terminal,own_family_strict_xsurname_xlocation,1,0.14285714285714285
J2,249,49,14,6,0.05622489959839357,0.12244897959183673,0.06622407999344315,surname_region_terminal,own_family_strict_xsurname_xlocation,2,0.2857142857142857
G,70,35,6,5,0.08571428571428572,0.14285714285714285,0.057142857142857134,surname_region_terminal,own_family_strict_xsurname_xlocation,3,0.42857142857142855
R1a,375,48,28,4,0.07466666666666667,0.08333333333333333,0.008666666666666656,surname_region_terminal,own_family_strict_xsurname_xlocation,4,0.5714285714285714
E,626,45,45,2,0.07188498402555911,0.044444444444444446,-0.027440539581114663,surname_region_terminal,own_family_strict_xsurname_xlocation,5,0.7142857142857143
R1b,118,59,13,0,0.11016949152542373,0,-0.11016949152542373,surname_region_terminal,own_family_strict_xsurname_xlocation,6,0.8571428571428571
I1,276,31,32,0,0.11594202898550725,0,-0.11594202898550725,surname_region_terminal,own_family_strict_xsurname_xlocation,7,1
I2,411,132,73,53,0.17761557177615572,0.4015151515151515,0.22389957973899577,location_terminal,own_family_social_xsurname_xlocation,1,0.14285714285714285
J2,241,51,36,10,0.14937759336099585,0.19607843137254902,0.04670083801155317,location_terminal,own_family_social_xsurname_xlocation,2,0.2857142857142857
G,72,35,10,5,0.1388888888888889,0.14285714285714285,0.003968253968253954,location_terminal,own_family_social_xsurname_xlocation,3,0.42857142857142855
R1a,370,47,70,9,0.1891891891891892,0.19148936170212766,0.0023001725129384587,location_terminal,own_family_social_xsurname_xlocation,4,0.5714285714285714
E,604,46,125,6,0.20695364238410596,0.13043478260869565,-0.07651885977541031,location_terminal,own_family_social_xsurname_xlocation,5,0.7142857142857143
R1b,116,56,33,8,0.28448275862068967,0.14285714285714285,-0.14162561576354682,location_terminal,own_family_social_xsurname_xlocation,6,0.8571428571428571
I1,271,28,78,0,0.2878228782287823,0,-0.2878228782287823,location_terminal,own_family_social_xsurname_xlocation,7,1
I2,411,132,222,94,0.5401459854014599,0.7121212121212122,0.1719752267197523,location_terminal,own_family_near30,1,0.14285714285714285
G,72,35,29,17,0.4027777777777778,0.4857142857142857,0.08293650793650792,location_terminal,own_family_near30,2,0.2857142857142857
R1b,116,56,60,32,0.5172413793103449,0.5714285714285714,0.054187192118226535,location_terminal,own_family_near30,3,0.42857142857142855
J2,241,51,108,20,0.44813278008298757,0.39215686274509803,-0.055975917337889536,location_terminal,own_family_near30,4,0.5714285714285714
E,604,46,275,18,0.4552980132450331,0.391304347826087,-0.06399366541894613,location_terminal,own_family_near30,5,0.7142857142857143
R1a,370,47,201,18,0.5432432432432432,0.3829787234042553,-0.16026451983898793,location_terminal,own_family_near30,6,0.8571428571428571
I1,271,28,127,4,0.46863468634686345,0.14285714285714285,-0.3257775434897206,location_terminal,own_family_near30,7,1
I2,411,132,45,46,0.10948905109489052,0.3484848484848485,0.238995797389958,location_terminal,own_family_cloud_xsurname_xlocation,1,0.14285714285714285
J2,241,51,21,8,0.08713692946058091,0.1568627450980392,0.0697258156374583,location_terminal,own_family_cloud_xsurname_xlocation,2,0.2857142857142857
G,72,35,7,5,0.09722222222222222,0.14285714285714285,0.045634920634920625,location_terminal,own_family_cloud_xsurname_xlocation,3,0.42857142857142855
E,604,46,82,5,0.1357615894039735,0.10869565217391304,-0.02706593723006047,location_terminal,own_family_cloud_xsurname_xlocation,4,0.5714285714285714
R1a,370,47,52,5,0.14054054054054055,0.10638297872340426,-0.03415756181713629,location_terminal,own_family_cloud_xsurname_xlocation,5,0.7142857142857143
R1b,116,56,26,3,0.22413793103448276,0.05357142857142857,-0.1705665024630542,location_terminal,own_family_cloud_xsurname_xlocation,6,0.8571428571428571
I1,271,28,51,0,0.1881918819188192,0,-0.1881918819188192,location_terminal,own_family_cloud_xsurname_xlocation,7,1
I2,411,132,28,22,0.0681265206812652,0.16666666666666666,0.09854014598540145,location_terminal,own_family_strict_xsurname_xlocation,1,0.14285714285714285
J2,241,51,14,6,0.058091286307053944,0.11764705882352941,0.059555772516475466,location_terminal,own_family_strict_xsurname_xlocation,2,0.2857142857142857
G,72,35,6,5,0.08333333333333333,0.14285714285714285,0.05952380952380952,location_terminal,own_family_strict_xsurname_xlocation,3,0.42857142857142855
R1a,370,47,26,4,0.07027027027027027,0.0851063829787234,0.014836112708453128,location_terminal,own_family_strict_xsurname_xlocation,4,0.5714285714285714
E,604,46,44,4,0.0728476821192053,0.08695652173913043,0.014108839619925137,location_terminal,own_family_strict_xsurname_xlocation,5,0.7142857142857143
I1,271,28,30,0,0.11070110701107011,0,-0.11070110701107011,location_terminal,own_family_strict_xsurname_xlocation,6,0.8571428571428571
R1b,116,56,13,0,0.11206896551724138,0,-0.11206896551724138,location_terminal,own_family_strict_xsurname_xlocation,7,1
