unit_type,observed,max_p,min_p,most_conservative_null,n_perm,n_units
location_terminal,0.3849763459519557,1.999600079984003e-4,1.999600079984003e-4,class_within_lineage,5000,1275
cluster,0.37323455458781973,1.999600079984003e-4,1.999600079984003e-4,class_within_lineage,5000,1351
surname_region_terminal,0.3559865617497864,1.999600079984003e-4,1.999600079984003e-4,class_within_lineage,5000,1292
surname_slava_region_terminal,0.3529327333427561,1.999600079984003e-4,1.999600079984003e-4,class_within_lineage,5000,1298
slava_region_terminal,0.2878429723141537,0.001799640071985603,1.999600079984003e-4,lineage_within_class_region_intensity,5000,865
terminal_branch,0.6522951522951523,0.002999400119976005,0.0011997600479904018,lineage_within_class_region_intensity,5000,159
