target_relic_rate,target_founder_rate,control_relic_rate,control_founder_rate,target_relic_n,target_founder_n,control_relic_n,control_founder_n,target_relic_yes,target_founder_yes,control_relic_yes,control_founder_yes,target_relic_minus_founder,control_relic_minus_founder,did_lift,unit_type,target_name,control_set,feature,feature_type
0.40601503759398494,0.1752808988764045,0.35344827586206895,0.3972972972972973,133,445,232,1480,54,78,82,588,0.23073413871758044,-0.04384902143522834,0.2745831601528088,cluster,I2_all,non_I2_excl_R1a,other_i2_social,binary
0.7142857142857143,0.5348314606741573,0.7586206896551724,0.8452702702702702,133,445,232,1480,95,238,176,1251,0.17945425361155698,-0.08664958061509787,0.26610383422665485,cluster,I2_all,non_I2_excl_R1a,other_i2_near_30km,binary
0.44360902255639095,0.2876404494382023,0.625,0.6391891891891892,133,445,232,1480,59,128,145,946,0.15596857311818868,-0.01418918918918921,0.1701577623073779,cluster,I2_all,non_I2_excl_R1a,other_i2_dist_le_20,binary
0.924812030075188,0.8966292134831461,0.9396551724137931,0.9702702702702702,133,445,232,1480,123,399,218,1436,0.028182816592041915,-0.03061509785647709,0.058797914448519006,cluster,I2_all,non_I2_excl_R1a,other_i2_dist_le_50,binary
0.3533834586466165,0.11235955056179775,0.30603448275862066,0.3587837837837838,133,445,232,1480,47,50,71,531,0.24102390808481877,-0.05274930102516312,0.2937732091099819,cluster,I2_all,non_I2_excl_R1a,other_i2_cloud_social_spatial,binary
0.19548872180451127,0.10786516853932585,0.15517241379310345,0.14391891891891892,133,445,232,1480,26,48,36,213,0.08762355326518542,0.011253494874184533,0.07637005839100089,cluster,I2_all,non_I2_excl_R1a,nonph_i2_social,binary
0.518796992481203,0.47415730337078654,0.49137931034482757,0.5567567567567567,133,445,232,1480,69,211,114,824,0.04463968911041649,-0.06537744641192916,0.11001713552234565,cluster,I2_all,non_I2_excl_R1a,nonph_i2_near_30km,binary
0.13533834586466165,0.06292134831460675,0.09913793103448276,0.11351351351351352,133,445,232,1480,18,28,23,168,0.0724169975500549,-0.014375582479030757,0.08679258002908566,cluster,I2_all,non_I2_excl_R1a,nonph_i2_cloud_social_spatial,binary
0.8646616541353384,0.750561797752809,0.7887931034482759,0.8297297297297297,133,445,232,1480,115,334,183,1228,0.1140998563825294,-0.04093662628145378,0.15503648266398318,cluster,I2_all,non_I2_excl_R1a,surname_ic,binary
0.5338345864661654,0.39775280898876403,0.5387931034482759,0.4972972972972973,133,445,232,1480,71,177,125,736,0.1360817774774014,0.04149580615097859,0.09458597132642282,cluster,I2_all,non_I2_excl_R1a,surname_ovic_evic,binary
0.3308270676691729,0.35280898876404493,0.25,0.3324324324324324,133,445,232,1480,44,157,58,492,-0.021981921094872015,-0.08243243243243242,0.06045051133756041,cluster,I2_all,non_I2_excl_R1a,surname_non_ovic_ic,binary
0.5488721804511278,0.4067415730337079,0.5474137931034483,0.5094594594594595,133,445,232,1480,73,181,127,754,0.14213060741741995,0.037954333643988813,0.10417627377343114,cluster,I2_all,non_I2_excl_R1a,surname_vic,binary
0,0.0022471910112359553,0.021551724137931036,0.005405405405405406,133,445,232,1480,0,1,5,8,-0.0022471910112359553,0.01614631873252563,-0.018393509743761586,cluster,I2_all,non_I2_excl_R1a,surname_ski,binary
0.924812030075188,0.9865168539325843,0.9051724137931034,0.970945945945946,133,445,232,1480,123,439,210,1437,-0.061704823857396285,-0.06577353215284254,0.004068708295446255,cluster,I2_all,non_I2_excl_R1a,slava_informative,binary
